,url,date,topics
670,https://www.bbc.com//news/health-65954131,21 Jun 2023,"['Manchester', 'Eating disorders', 'Young people', 'Mental health']"
671,https://www.bbc.com//news/uk-politics-63596885,11 Nov 2022,"['House of Commons', 'UK Parliament', 'House of Lords']"
672,https://www.bbc.com//news/election-2019-50794076,14 Dec 2019,['no_topics']
673,https://www.bbc.com//news/uk-england-suffolk-56750869,15 Apr 2021,"['Diversity', 'History', 'Bury St Edmunds']"
674,https://www.bbc.com//news/uk-wales-politics-44196315,21 May 2018,['no_topics']
675,https://www.bbc.com//news/uk-scotland-glasgow-west-45731788,3 Oct 2018,['no_topics']
676,https://www.bbc.com//news/uk-northern-ireland-foyle-west-45419815,5 Sep 2018,['no_topics']
677,https://www.bbc.com//news/world-latin-america-44678954,2 Jul 2018,['no_topics']
678,https://www.bbc.com//news/uk-politics-41796213,30 Oct 2017,['no_topics']
679,https://www.bbc.com//news/uk-england-bristol-53218687,29 Jun 2020,['no_topics']
680,https://www.bbc.com//news/world-asia-china-57380367,9 Jun 2021,"['Billionaires', 'Asia']"
681,https://www.bbc.com//news/world-asia-india-56523999,4 Apr 2021,['India']
682,https://www.bbc.com//news/business-48882195,19 Aug 2019,['no_topics']
683,https://www.bbc.com//news/technology-41278809,15 Sep 2017,['no_topics']
684,https://www.bbc.com//news/business-56359863,22 Mar 2021,"['Money', 'Personal finance', 'Personal debt']"
685,https://www.bbc.com//news/uk-54819985,5 Nov 2020,['no_topics']
686,https://www.bbc.com//news/uk-wales-59987507,16 Jan 2022,"['Wales', 'Poverty', 'Money', 'Personal finance', 'Cardiff', 'Food banks', 'Cost of living', 'Universal Credit']"
687,https://www.bbc.com//news/world-africa-59838432,1 Jan 2022,"['Desmond Tutu', 'South Africa']"
688,https://www.bbc.com//news/business-41746705,25 Oct 2017,['no_topics']
689,https://www.bbc.com//news/world-europe-53339992,10 Jul 2020,['no_topics']
690,https://www.bbc.com//news/disability-39920646,5 Jun 2017,['no_topics']
691,https://www.bbc.com//news/business-55341235,26 Dec 2020,"['US economy', 'Economics', 'Global economy', 'Global trade', 'Donald Trump']"
692,https://www.bbc.com//news/world-asia-india-44193144,26 May 2018,['no_topics']
693,https://www.bbc.com//news/business-42703841,23 Jan 2018,['no_topics']
694,https://www.bbc.com//news/entertainment-arts-45407983,4 Sep 2018,['no_topics']
695,https://www.bbc.com//news/business-55177848,4 Dec 2020,"['US economy', 'Unemployment', 'Unemployment benefits', 'US politics', 'Coronavirus pandemic']"
696,https://www.bbc.com//news/uk-54699820,27 Oct 2020,['no_topics']
697,https://www.bbc.com//news/world-us-canada-64244643,16 Jan 2023,"['African-American Civil Rights Movement', 'Martin Luther King', 'United States']"
698,https://www.bbc.com//news/world-us-canada-41487808,3 Oct 2017,['no_topics']
699,https://www.bbc.com//news/uk-politics-42647971,13 Jan 2018,['no_topics']
700,https://www.bbc.com//news/uk-56263268,3 Mar 2021,"['Keir Starmer', 'UK Parliament', 'Rishi Sunak', 'UK economy', 'Budget 2021']"
701,https://www.bbc.com//news/uk-52574931,7 May 2020,['no_topics']
702,https://www.bbc.com//news/uk-wales-41595024,13 Oct 2017,['no_topics']
703,https://www.bbc.com//news/business-55569760,8 Jan 2021,"['Coronavirus lockdown measures', 'Global economy', 'OECD']"
704,https://www.bbc.com//news/world-46140105,16 Nov 2018,['no_topics']
705,https://www.bbc.com//news/uk-england-63143195,6 Oct 2022,"['Levelling up', 'Bishop Auckland', 'Ministry of Housing, Communities & Local Government', 'Blyth', 'Middlesbrough', 'Sunderland', 'Thornaby-on-Tees', 'Stockton-on-Tees', 'Darlington', 'University of Northumbria', 'Newcastle upon Tyne', 'Shildon', 'Redcar']"
706,https://www.bbc.com//news/world-59514598,7 Dec 2021,['100 Women']
707,https://www.bbc.com//news/uk-england-leeds-64818762,1 Mar 2023,"['Wakefield Metropolitan District Council', 'Wakefield']"
708,https://www.bbc.com//news/uk-politics-43279177,5 Mar 2018,['no_topics']
709,https://www.bbc.com//news/world-latin-america-47211509,12 Feb 2019,['no_topics']
710,https://www.bbc.com//news/business-43302935,21 Mar 2018,['no_topics']
711,https://www.bbc.com//news/uk-wales-61399189,14 May 2022,"['Wales', 'Social media', 'TikTok', 'Barmouth', 'Nelson', 'Internet trolls', 'Caerphilly', 'Psychiatry', 'Newport', 'Meta', 'Instagram', 'Facebook', 'Mental Health Awareness Week', 'Mental health', 'Blackwood']"
712,https://www.bbc.com//news/education-42425343,21 Dec 2017,['no_topics']
713,https://www.bbc.com//news/newsbeat-55659075,14 Jan 2021,"['Gaming', 'Keanu Reeves', 'Xbox', 'PlayStation']"
714,https://www.bbc.com//news/blogs-the-papers-47187473,10 Feb 2019,['no_topics']
715,https://www.bbc.com//news/business-53574954,28 Jul 2020,['no_topics']
716,https://www.bbc.com//news/world-latin-america-66053560,25 Aug 2023,"['Housing', 'Sao Paulo', 'Brazil']"
717,https://www.bbc.com//news/education-40898523,13 Aug 2017,['no_topics']
718,https://www.bbc.com//news/uk-england-bristol-49969909,17 Oct 2019,['no_topics']
719,https://www.bbc.com//news/world-asia-india-62901550,14 Sep 2022,"['Women in India', 'Asia', 'Women', 'Gender pay gap', 'India']"
720,https://www.bbc.com//news/uk-england-leicestershire-55938335,6 Feb 2021,"[""Down's syndrome"", 'Coronavirus vaccines', 'Barlestone', 'Disability']"
721,https://www.bbc.com//news/world-latin-america-36920541,28 Jul 2016,['no_topics']
722,https://www.bbc.com//news/entertainment-arts-57987421,28 Jul 2021,"['Black Lives Matter', 'The Oscars', 'Racism', 'Grammy Awards', 'Music']"
723,https://www.bbc.com//news/world-latin-america-61860887,20 Jun 2022,"['Farc', 'Iván Duque', 'Colombia']"
724,https://www.bbc.com//news/education-54278727,26 Sep 2020,['no_topics']
725,https://www.bbc.com//news/world-latin-america-44677829,2 Jul 2018,['no_topics']
726,https://www.bbc.com//news/election-2017-39998261,2 Jun 2017,['no_topics']
727,https://www.bbc.com//news/uk-53236184,30 Jun 2020,['no_topics']
728,https://www.bbc.com//news/newsbeat-52877511,1 Jun 2020,['no_topics']
729,https://www.bbc.com//news/business-40597541,25 Jul 2017,['no_topics']
730,https://www.bbc.com//news/business-55735108,21 Jan 2021,"['Companies', 'Unilever']"
731,https://www.bbc.com//news/technology-47156142,12 Feb 2019,['no_topics']
